,ResponseId,User1,User2,Gender,Age,Education,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q6_20,Q6_21,Q6_22,Q6_23,Q6_24,Q6_25,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25
0,R_aVGlTUGqGaMAky9,1,2,2,"Aenean euismod id diam, massa malesuada atque rutrum bibendum pede leo metus velit? Vitae.",4,2,7,7,7,6,7,3,2,7,5,4,5,2,7,4,3,5,2,5,5,7,7,6,7,1,7,2,4,5,7,7,4,2,2,1,6,5,3,4,7,2,3,2,2,3,3,5,1,1,3
1,R_1BUvNqeO78aTcZn,2,1,3,"Elementum dolorem? Nulla proin, ridiculus volutpat tempor placerat? Mi ab ultrices consequat.",5,5,7,3,3,4,3,7,5,2,6,4,2,4,7,2,1,3,5,1,6,6,7,1,4,6,3,7,7,4,5,4,3,3,5,5,1,2,6,7,4,7,4,2,1,1,3,5,6,7,6
2,R_5C4ymkqXOb89RFr,3,4,1,Atque per pharetra accusamus ligula pellentesque tempus laoreet vitae leo. Platea.,4,4,2,4,7,1,5,3,6,4,4,1,6,3,1,4,3,5,5,4,4,4,6,2,1,3,5,7,4,4,4,3,2,2,5,1,5,5,4,1,2,2,5,4,6,6,4,2,7,4,6
3,R_7U1ydyEj3miBzff,4,3,3,"Quam ut? Natoque ante sagittis tortor, eget nunc tempora eget wisi facilisi.",1,2,7,2,7,1,6,7,1,4,1,5,6,7,3,1,7,4,5,3,7,2,1,5,5,1,6,4,1,7,1,5,4,5,3,5,2,1,3,6,2,1,4,7,6,5,6,4,2,1,2
4,R_eanTsLUKU7VtXBb,5,6,3,"Dictumst dapibus cursus interdum potenti ligula elit lorem rutrum mattis! Ridiculus ultricies, morbi.",4,2,4,3,5,7,5,5,5,4,4,7,7,3,7,3,1,6,6,5,5,7,6,3,1,1,2,4,3,2,2,3,5,4,1,1,1,7,7,6,2,1,2,7,7,6,5,5,3,2,1
5,R_6WJ1YQPa8xQk8W9,6,5,1,"Vehicula fringilla integer. Ab viverra lacus gravida sagittis? Aliquet diam nulla ultricies, venenatis a.",8,4,1,6,2,6,4,7,2,3,1,6,6,3,5,3,3,1,2,7,7,2,5,1,7,4,1,4,1,4,6,1,6,7,6,7,3,6,2,5,7,6,7,3,1,6,5,3,5,7,6
6,R_2hNmFAAiFnW53IF,7,8,1,Mauris sed sem elementum porttitor culpa elementum bibendum scelerisque integer ultricies. Proin. A placerat.,8,7,4,3,1,4,7,1,4,2,5,4,4,5,7,1,5,6,2,7,2,4,4,1,5,1,1,5,2,4,5,6,2,3,4,2,3,2,3,7,5,3,3,2,1,6,7,2,3,4,3
7,R_23nDqHvkzxTi9kV,8,7,1,"Pretium vitae, fusce nullam ipsum massa. Montes ut a curabitur. Blandit.",7,3,5,6,6,3,7,6,1,2,2,2,1,5,4,7,1,4,6,5,6,1,7,3,1,5,6,3,1,7,6,4,6,6,7,4,7,7,1,7,6,7,7,3,3,4,3,5,4,2,2
8,R_5i1zoQ2JLqPPb3T,9,10,2,Purus? Eget consequat volutpat quam fusce atque. Duis primis? Quam sapien porttitor felis.,6,4,1,4,2,1,4,7,3,6,5,5,2,7,3,6,5,7,3,6,1,7,2,4,2,5,6,7,5,3,6,6,6,2,5,5,6,5,2,4,2,5,1,1,4,1,6,4,4,6,6
9,R_0697HkB5oWtTtZz,10,9,1,"Nec mauris ridiculus vehicula, dolorem cursus eu! Tempora vivamus proin vulputate rutrum. Rutrum, nunc cras.",2,5,4,4,4,4,2,6,4,1,3,3,1,3,7,2,7,7,5,6,2,3,2,5,4,4,7,6,1,2,3,3,6,2,5,6,7,7,6,7,3,2,3,4,6,6,6,3,6,6,1
